,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,model
0,2007,60000,70000,0,1,0,0,0,1
1,2007,135000,50000,0,1,0,0,0,2
2,2012,600000,100000,1,1,0,0,1,23
3,2017,250000,46000,0,1,0,0,2,39
4,2014,450000,141000,1,1,0,1,3,41
5,2007,140000,125000,0,1,0,0,0,3
6,2016,550000,25000,0,1,0,0,1,24
7,2014,240000,60000,0,1,0,1,4,52
8,2015,850000,25000,0,1,0,0,1,25
9,2017,365000,78000,2,1,0,0,0,4
10,2015,260000,35000,0,1,0,0,5,72
11,2014,250000,100000,0,1,0,0,4,52
12,2018,1650000,25000,0,0,1,0,6,81
13,2007,60000,70000,0,1,0,0,0,1
14,2007,135000,50000,0,1,0,0,0,2
15,2012,600000,100000,1,1,0,0,1,23
16,2017,250000,46000,0,1,0,0,2,39
17,2014,450000,141000,1,1,0,1,3,41
18,2007,140000,125000,0,1,0,0,0,3
19,2016,550000,25000,0,1,0,0,1,24
20,2014,240000,60000,0,1,0,1,4,52
21,2015,850000,25000,0,1,0,0,1,25
22,2017,365000,78000,2,1,0,0,0,4
23,2015,260000,35000,0,1,0,0,5,72
24,2014,250000,100000,0,1,0,0,4,52
25,2018,1650000,25000,0,0,1,0,6,81
26,2015,585000,24000,0,0,0,0,0,5
27,2019,1195000,5000,1,0,0,0,1,26
28,2013,390000,33000,1,1,0,1,5,73
29,2014,1964999,28000,1,0,1,0,7,88
30,2013,1425000,59000,1,0,1,0,8,90
31,2018,975000,4500,1,0,1,0,0,6
32,2011,1190000,175900,1,0,1,0,9,98
33,2018,930000,14500,0,0,0,0,3,42
34,2018,525000,15000,0,1,0,0,4,53
35,2013,1735000,50000,1,0,1,0,9,99
36,2012,1375000,33800,1,0,1,1,8,90
37,2011,450000,130400,1,0,1,1,10,106
38,2016,900000,50000,0,1,1,0,6,81
39,2015,1300000,80000,1,1,0,0,6,82
40,2019,1400000,10000,0,1,0,0,11,112
41,2010,850000,119000,0,0,1,0,8,91
42,2014,229999,60000,0,1,0,3,1,27
43,2013,1550000,75800,1,0,1,1,18,113
44,2009,1250000,78000,1,0,1,2,9,100
45,2012,625000,40000,1,1,0,0,1,28
46,2014,1050000,50000,1,1,0,0,12,118
47,2014,560000,74000,1,1,0,1,3,42
48,2014,290000,64000,0,1,0,1,0,2
49,2012,275000,60000,0,1,0,1,0,2
50,2009,411000,120000,1,1,0,1,12,118
51,2009,150000,79000,0,1,0,2,1,29
52,2019,500000,15000,0,1,0,0,1,30
53,2006,100000,80000,0,1,0,0,0,3
54,2017,725000,18500,1,0,0,0,0,7
55,2018,401000,10200,0,0,0,0,0,8
56,2018,750000,29000,1,0,0,0,1,31
57,2018,310000,28000,0,0,0,0,0,9
58,2016,665000,46000,1,0,0,0,0,7
59,2014,465000,70000,1,0,0,0,1,31
60,2012,160000,60000,0,1,0,1,0,3
61,1996,250000,35000,1,1,0,1,12,119
62,2014,675000,90000,1,0,0,0,3,42
63,2013,300000,80000,0,0,0,0,0,2
64,2005,70000,80000,1,1,0,0,4,54
65,2014,240000,73300,0,0,0,1,1,32
66,2014,525000,92000,1,0,0,0,6,83
67,2009,151000,66764,0,0,0,1,0,3
68,2009,140000,100000,0,1,0,0,0,3
69,2010,280000,350000,1,1,0,1,5,74
70,2011,350000,230000,1,1,0,0,6,81
71,2017,570000,60000,1,1,0,0,12,118
72,2018,300000,31000,0,1,0,0,1,32
73,2007,100000,39000,1,1,0,0,4,52
74,2009,500000,120000,1,1,0,2,6,82
75,2014,125000,166000,1,1,0,3,4,54
76,2006,130000,110000,0,1,0,2,0,7
77,2017,925000,35000,1,1,0,0,13,135
78,2018,750000,60000,1,1,0,0,0,5
79,2007,200000,54000,0,1,1,1,3,43
80,2010,248000,63000,0,1,0,1,1,27
81,2014,450000,120000,1,1,0,1,10,107
82,2005,80000,120000,0,1,0,2,1,33
83,2014,650000,76000,0,1,0,1,14,145
84,2015,450000,80000,1,1,0,0,1,30
85,2019,650000,25000,1,1,0,0,1,34
86,2016,495000,11958,0,0,0,0,3,41
87,2015,371000,20000,0,0,0,0,3,44
88,2017,1025000,9000,0,0,0,0,1,25
89,2017,8150000,6500,1,0,1,0,8,92
90,2015,750000,70000,1,1,0,0,12,120
91,2013,600000,120000,1,1,0,0,15,151
92,2007,80000,58000,0,0,0,1,1,29
93,2013,325000,62200,1,0,0,0,12,121
94,2014,1470000,34000,1,0,1,1,9,99
95,2015,350000,53000,1,1,0,1,16,160
96,2013,2800000,49000,1,0,1,0,9,101
97,2017,210000,15000,0,0,0,1,2,39
98,2013,450000,50000,0,1,0,0,17,166
99,2013,1150000,53000,1,0,1,0,9,102
100,2009,210000,63500,0,0,1,0,3,43
101,2018,4500000,9800,0,0,1,0,8,91
102,2017,2750000,13000,1,1,1,0,18,114
103,2018,1975000,21000,1,0,1,0,19,172
104,2008,175000,29173,0,0,0,0,0,10
105,2012,2500000,48000,1,0,1,0,18,115
106,2017,628000,120000,1,1,0,0,12,121
107,2010,600000,100000,1,1,0,0,1,35
108,2017,399000,30000,0,1,0,0,14,146
109,2018,750000,87000,1,1,0,0,12,122
110,2019,750000,15000,0,1,0,0,1,34
111,2017,315000,16000,0,1,0,0,15,152
112,2012,600000,60000,1,1,0,0,12,122
113,2010,100000,60000,0,1,0,3,0,2
114,2011,250000,110000,0,1,0,2,0,10
115,2017,350000,25000,0,1,0,0,15,152
116,2016,780000,60000,1,1,0,0,1,25
117,2014,434000,79350,1,1,0,1,0,7
118,2016,690000,80000,0,1,1,0,1,23
119,2014,555000,90000,1,1,0,1,12,118
120,2007,120000,90000,0,1,0,1,0,10
121,2014,500000,120000,1,1,0,1,0,11
122,2013,165000,60000,1,1,0,1,5,75
123,2004,95000,50000,0,1,0,0,0,12
